                 Decay                   Y(i)      E(i)     Delta(i)
Nuclide  T1/2    Mode       Auger Line  (/nt)      (MeV)    Gy kg/nt
--------------------------------------------------------------------
Na-24   14.959 h B+         Auger KLL  1.39E-05  1.167E-03  2.59E-21
                            Auger KLX  4.47E-07  1.218E-03  8.73E-23
                            Auger KXY  7.09E-09  1.281E-03  1.45E-24
                            CK LLX     7.25E-06  2.623E-05  3.05E-23
                            Auger LMM  2.96E-05  4.266E-05  2.02E-22
                                                      Total 2.91E-21
Mg-28   20.915 h B+         Auger KLL  2.54E-01  1.371E-03  5.57E-17
                            Auger KLX  1.31E-02  1.447E-03  3.04E-18
                            Auger KXY  2.19E-04  1.531E-03  5.37E-20
                            CK LLX     1.33E-01  2.850E-05  6.06E-19
                            Auger LMM  5.50E-01  6.525E-05  5.75E-18
                                                      Total 6.52E-17
Al-28   2.2414 m B+         Auger KLL  7.67E-06  1.593E-03  1.96E-21
                            Auger KLX  5.69E-07  1.697E-03  1.55E-22
                            Auger KXY  1.16E-08  1.806E-03  3.35E-24
                            CK LLX     4.04E-06  3.110E-05  2.01E-23
                            Auger LMM  1.70E-05  9.026E-05  2.45E-22
                                                      Total 2.38E-21
P-30    2.498 m EC B-       Auger KLL  1.15E-03  1.593E-03  2.94E-19
                            Auger KLX  8.54E-05  1.697E-03  2.32E-20
                            Auger KXY  1.74E-06  1.806E-03  5.03E-22
                            CK LLX     6.32E-04  3.110E-05  3.15E-21
                            Auger LMM  2.57E-03  9.026E-05  3.72E-20
                                                      Total 3.58E-19
Cl-34   1.5264 s EC B-      Auger KLL  5.84E-04  2.089E-03  1.95E-19
                            Auger KLX  7.29E-05  2.256E-03  2.63E-20
                            Auger KXY  2.28E-06  2.426E-03  8.86E-22
                            CK LLX     3.29E-04  3.721E-05  1.96E-21
                            Auger LMM  1.36E-03  1.475E-04  3.22E-20
                                                      Total 2.57E-19
Cl-34m  32 m EC B- IT       Auger KLL  8.99E-03  2.089E-03  3.01E-18
                            Auger KLX  1.12E-03  2.256E-03  4.05E-19
                            Auger KXY  3.51E-05  2.426E-03  1.36E-20
                            CK LLX     5.06E-03  3.721E-05  3.02E-20
                            Auger LMM  2.10E-02  1.475E-04  4.96E-19
                            Auger KLL  2.91E-02  2.363E-03  1.10E-17
                            Auger KLX  4.43E-03  2.566E-03  1.82E-18
                            Auger KXY  1.69E-04  2.772E-03  7.49E-20
                            CK LLX     1.61E-02  4.058E-05  1.05E-19
                            Auger LMM  6.93E-02  1.802E-04  2.00E-18
                                                      Total 1.90E-17
Cl-36   301000 y EC B- B+   Auger KLL  1.39E-02  2.089E-03  4.65E-18
                            Auger KLX  1.73E-03  2.256E-03  6.27E-19
                            Auger KXY  5.42E-05  2.426E-03  2.11E-20
                            CK LLX     7.83E-03  3.721E-05  4.67E-20
                            Auger LMM  3.24E-02  1.475E-04  7.66E-19
                                                      Total 6.11E-18
Cl-38   37.24 m B+          Auger KLL  6.67E-06  2.654E-03  2.84E-21
                            Auger KLX  1.20E-06  2.896E-03  5.57E-22
                            Auger KXY  5.46E-08  3.141E-03  2.75E-23
                            CK LLX     3.73E-06  4.411E-05  2.63E-23
                            Auger LMM  1.62E-05  2.157E-04  5.61E-22
                                                      Total 4.01E-21
Ar-37   35.04 d EC          Auger KLL  7.03E-01  2.363E-03  2.66E-16
                            Auger KLX  1.07E-01  2.566E-03  4.40E-17
                            Auger KXY  4.08E-03  2.772E-03  1.81E-18
                            CK LLX     4.03E-01  4.058E-05  2.62E-18
                            Auger LMM  1.68E+00  1.802E-04  4.86E-17
                                                      Total 3.63E-16
K-38    7.636 m EC B-       Auger KLL  3.57E-03  2.654E-03  1.52E-18
                            Auger KLX  6.42E-04  2.896E-03  2.98E-19
                            Auger KXY  2.92E-05  3.141E-03  1.47E-20
                            CK LLX     2.07E-03  4.411E-05  1.46E-20
                            Auger LMM  8.75E-03  2.157E-04  3.02E-19
                                                      Total 2.15E-18
K-40    1.251E+9 y EC B- B+ Auger KLL  6.20E-02  2.654E-03  2.64E-17
                            Auger KLX  1.12E-02  2.896E-03  5.18E-18
                            Auger KXY  5.07E-04  3.141E-03  2.55E-19
                            CK LLX     3.87E-02  4.411E-05  2.74E-19
                            Auger LMM  1.67E-01  2.157E-04  5.76E-18
                                                      Total 3.78E-17
K-42    12.36 h B+          Auger KLL  1.12E-05  3.269E-03  5.87E-21
                            Auger KLX  2.48E-06  3.602E-03  1.43E-21
                            Auger KXY  1.38E-07  3.939E-03  8.68E-23
                            CK LLX     6.19E-06  3.700E-05  3.67E-23
                            Auger LMM  2.79E-05  2.856E-04  1.28E-21
                            Auger LMX  8.10E-07  3.212E-04  4.17E-23
                                                      Total 8.75E-21
K-43    22.3 h B+           Auger KLL  4.88E-04  3.269E-03  2.56E-19
                            Auger KLX  1.08E-04  3.602E-03  6.24E-20
                            Auger KXY  5.98E-06  3.939E-03  3.78E-21
                            CK LLX     2.70E-04  3.700E-05  1.60E-21
                            Auger LMM  1.21E-03  2.856E-04  5.55E-20
                            Auger LMX  3.52E-05  3.212E-04  1.81E-21
                                                      Total 3.81E-19
Ca-45   162.67 d B+         Auger KLL  1.08E-05  3.609E-03  6.26E-21
                            Auger KLX  2.46E-06  3.992E-03  1.57E-21
                            Auger KXY  1.41E-07  4.378E-03  9.87E-23
                            CK LLX     6.36E-06  4.168E-05  4.25E-23
                            Auger LMM  2.86E-05  3.311E-04  1.51E-21
                            Auger LMX  7.52E-07  3.719E-04  4.48E-23
                            CK MMX     7.40E-05  2.438E-05  2.89E-22
                                                      Total 9.82E-21
Ca-47   4.536 d B+          Auger KLL  5.76E-05  3.609E-03  3.33E-20
                            Auger KLX  1.31E-05  3.992E-03  8.37E-21
                            Auger KXY  7.49E-07  4.378E-03  5.25E-22
                            CK LLX     3.16E-05  4.168E-05  2.11E-22
                            Auger LMM  1.47E-04  3.310E-04  7.78E-21
                            Auger LMX  3.86E-06  3.717E-04  2.30E-22
                            CK MMX     3.79E-04  2.438E-05  1.48E-21
                                                      Total 5.19E-20
Ca-49   8.718 m B+          Auger KLL  8.61E-06  3.609E-03  4.98E-21
                            Auger KLX  1.95E-06  3.992E-03  1.25E-21
                            Auger KXY  1.12E-07  4.378E-03  7.85E-23
                            CK LLX     4.77E-06  4.168E-05  3.18E-23
                            Auger LMM  2.19E-05  3.311E-04  1.16E-21
                            Auger LMX  5.77E-07  3.717E-04  3.44E-23
                            CK MMX     5.68E-05  2.438E-05  2.22E-22
                                                      Total 7.76E-21
Sc-46   83.79 d B+          Auger KLL  1.48E-04  3.967E-03  9.38E-20
                            Auger KLX  3.42E-05  4.403E-03  2.41E-20
                            Auger KXY  1.99E-06  4.842E-03  1.54E-21
                            CK LLX     8.06E-05  4.645E-05  6.00E-22
                            Auger LMM  3.85E-04  3.809E-04  2.35E-20
                            Auger LMX  8.98E-06  4.250E-04  6.11E-22
                            CK MMX     9.40E-04  2.718E-05  4.09E-21
                                                      Total 1.48E-19
Sc-47   3.3492 d B+         Auger KLL  1.78E-03  3.967E-03  1.13E-18
                            Auger KLX  4.12E-04  4.403E-03  2.90E-19
                            Auger KXY  2.40E-05  4.842E-03  1.86E-20
                            CK LLX     9.73E-04  4.645E-05  7.24E-21
                            Auger LMM  4.65E-03  3.809E-04  2.84E-19
                            Auger LMX  1.08E-04  4.250E-04  7.38E-21
                            CK MMX     1.13E-02  2.718E-05  4.94E-20
                                                      Total 1.79E-18
Sc-49   57.2 m B+           Auger KLL  1.15E-08  3.967E-03  7.30E-24
                            Auger KLX  2.66E-09  4.403E-03  1.88E-24
                            Auger KXY  1.55E-10  4.842E-03  1.20E-25
                            CK LLX     6.28E-09  4.645E-05  4.67E-26
                            Auger LMM  3.00E-08  3.809E-04  1.83E-24
                            Auger LMX  6.99E-10  4.250E-04  4.76E-26
                            CK MMX     7.32E-08  2.718E-05  3.19E-25
                                                      Total 1.15E-23
V-48    15.9735 d EC B-     Auger KLL  2.81E-01  3.967E-03  1.78E-16
                            Auger KLX  6.50E-02  4.403E-03  4.58E-17
                            Auger KXY  3.79E-03  4.842E-03  2.94E-18
                            CK LLX     1.59E-01  4.645E-05  1.19E-18
                            Auger LMM  7.39E-01  3.810E-04  4.51E-17
                            Auger LMX  1.73E-02  4.252E-04  1.18E-18
                            CK MMX     1.82E+00  2.714E-05  7.93E-18
                                                      Total 2.82E-16
Cr-48   21.56 h EC B-       Auger KLL  5.43E-01  4.344E-03  3.78E-16
                            Auger KLX  1.28E-01  4.835E-03  9.91E-17
                            Auger KXY  7.55E-03  5.329E-03  6.45E-18
                            CK LLX     3.08E-01  5.146E-05  2.54E-18
                            Auger LMM  1.47E+00  4.354E-04  1.02E-16
                            Auger LMX  3.04E-02  4.821E-04  2.35E-18
                            CK MMX     3.39E+00  2.997E-05  1.63E-17
                                                      Total 6.07E-16
Cr-51   27.7025 d EC        Auger KLL  5.40E-01  4.344E-03  3.76E-16
                            Auger KLX  1.27E-01  4.835E-03  9.84E-17
                            Auger KXY  7.51E-03  5.329E-03  6.41E-18
                            CK LLX     3.07E-01  5.146E-05  2.53E-18
                            Auger LMM  1.46E+00  4.354E-04  1.02E-16
                            Auger LMX  3.03E-02  4.821E-04  2.34E-18
                            CK MMX     3.37E+00  2.997E-05  1.62E-17
                                                      Total 6.04E-16
Mn-51   46.2 m EC B-        Auger KLL  1.51E-02  4.745E-03  1.15E-17
                            Auger KLX  3.49E-03  5.293E-03  2.96E-18
                            Auger KXY  2.15E-04  5.845E-03  2.01E-19
                            CK LLX     8.54E-03  6.106E-05  8.35E-20
                            Auger LMM  4.24E-02  5.006E-04  3.40E-18
                            Auger LMX  3.19E-04  5.442E-04  2.78E-20
                            CK MMX     8.79E-02  3.611E-05  5.08E-19
                                                      Total 1.87E-17
Mn-52   5.591 d EC B-       Auger KLL  3.66E-01  4.745E-03  2.78E-16
                            Auger KLX  8.44E-02  5.293E-03  7.16E-17
                            Auger KXY  5.19E-03  5.845E-03  4.86E-18
                            CK LLX     2.06E-01  6.106E-05  2.02E-18
                            Auger LMM  1.02E+00  5.006E-04  8.22E-17
                            Auger LMX  7.72E-03  5.442E-04  6.73E-19
                            CK MMX     2.12E+00  3.611E-05  1.23E-17
                                                      Total 4.52E-16
Mn-52m  21.1 m EC B- IT     Auger KLL  8.71E-03  4.745E-03  6.62E-18
                            Auger KLX  2.01E-03  5.293E-03  1.70E-18
                            Auger KXY  1.23E-04  5.845E-03  1.16E-19
                            CK LLX     4.91E-03  6.106E-05  4.80E-20
                            Auger LMM  2.44E-02  5.006E-04  1.96E-18
                            Auger LMX  1.84E-04  5.442E-04  1.60E-20
                            CK MMX     5.05E-02  3.611E-05  2.92E-19
                            Auger KLL  3.35E-04  5.151E-03  2.77E-19
                            Auger KLX  8.11E-05  5.762E-03  7.49E-20
                            Auger KXY  4.95E-06  6.377E-03  5.05E-21
                            CK LLX     1.84E-04  6.490E-05  1.91E-21
                            Auger LMM  9.63E-04  5.592E-04  8.63E-20
                            Auger LMX  1.50E-05  6.060E-04  1.45E-21
                            CK MMX     1.83E-03  3.653E-05  1.07E-20
                                                      Total 1.12E-17
Mn-54   312.12 d EC B- B+   Auger KLL  5.19E-01  4.745E-03  3.95E-16
                            Auger KLX  1.20E-01  5.293E-03  1.02E-16
                            Auger KXY  7.36E-03  5.845E-03  6.89E-18
                            CK LLX     2.94E-01  6.106E-05  2.88E-18
                            Auger LMM  1.45E+00  5.007E-04  1.17E-16
                            Auger LMX  1.10E-02  5.443E-04  9.56E-19
                            CK MMX     3.02E+00  3.611E-05  1.74E-17
                                                      Total 6.41E-16
Fe-52   8.275 h EC B-       Auger KLL  2.23E-01  5.151E-03  1.84E-16
                            Auger KLX  5.39E-02  5.762E-03  4.98E-17
                            Auger KXY  3.29E-03  6.377E-03  3.36E-18
                            CK LLX     1.28E-01  6.490E-05  1.33E-18
                            Auger LMM  6.40E-01  5.594E-04  5.74E-17
                            Auger LMX  9.99E-03  6.067E-04  9.71E-19
                            CK MMX     1.23E+00  3.646E-05  7.21E-18
                                                      Total 3.04E-16
Fe-55   2.737 y EC          Auger KLL  4.90E-01  5.151E-03  4.04E-16
                            Auger KLX  1.18E-01  5.762E-03  1.09E-16
                            Auger KXY  7.22E-03  6.377E-03  7.37E-18
                            CK LLX     2.84E-01  6.490E-05  2.95E-18
                            Auger LMM  1.41E+00  5.594E-04  1.26E-16
                            Auger LMX  2.20E-02  6.068E-04  2.14E-18
                            CK MMX     2.72E+00  3.645E-05  1.59E-17
                                                      Total 6.68E-16
Fe-59   44.495 d B+         Auger KLL  2.70E-04  6.031E-03  2.61E-19
                            Auger KLX  6.67E-05  6.775E-03  7.24E-20
                            Auger KXY  4.27E-06  7.524E-03  5.15E-21
                            CK LLX     1.53E-04  7.493E-05  1.83E-21
                            Auger LMM  8.22E-04  6.981E-04  9.19E-20
                            Auger LMX  9.55E-06  7.443E-04  1.14E-21
                            CK MMX     1.32E-03  4.393E-05  9.29E-21
                                                      Total 4.42E-19
Co-55   17.53 h EC B-       Auger KLL  1.13E-01  5.582E-03  1.01E-16
                            Auger KLX  2.77E-02  6.258E-03  2.78E-17
                            Auger KXY  1.73E-03  6.938E-03  1.92E-18
                            CK LLX     6.57E-02  6.972E-05  7.34E-19
                            Auger LMM  3.36E-01  6.267E-04  3.37E-17
                            Auger LMX  4.54E-03  6.740E-04  4.90E-19
                            CK MMX     5.97E-01  4.003E-05  3.83E-18
                                                      Total 1.70E-16
Co-56   77.23 d EC B-       Auger KLL  3.78E-01  5.582E-03  3.38E-16
                            Auger KLX  9.26E-02  6.258E-03  9.28E-17
                            Auger KXY  5.77E-03  6.938E-03  6.41E-18
                            CK LLX     2.20E-01  6.972E-05  2.46E-18
                            Auger LMM  1.12E+00  6.268E-04  1.13E-16
                            Auger LMX  1.52E-02  6.740E-04  1.64E-18
                            CK MMX     2.00E+00  4.003E-05  1.28E-17
                                                      Total 5.67E-16
Co-57   271.74 d EC         Auger KLL  8.59E-01  5.582E-03  7.68E-16
                            Auger KLX  2.10E-01  6.258E-03  2.11E-16
                            Auger KXY  1.31E-02  6.938E-03  1.46E-17
                            CK LLX     4.91E-01  6.972E-05  5.48E-18
                            Auger LMM  2.54E+00  6.267E-04  2.55E-16
                            Auger LMX  3.43E-02  6.738E-04  3.70E-18
                            CK MMX     4.49E+00  4.006E-05  2.88E-17
                                                      Total 1.29E-15
Co-58   70.86 d EC B-       Auger KLL  3.98E-01  5.582E-03  3.56E-16
                            Auger KLX  9.74E-02  6.258E-03  9.77E-17
                            Auger KXY  6.07E-03  6.938E-03  6.75E-18
                            CK LLX     2.31E-01  6.972E-05  2.58E-18
                            Auger LMM  1.18E+00  6.268E-04  1.19E-16
                            Auger LMX  1.59E-02  6.740E-04  1.72E-18
                            CK MMX     2.10E+00  4.003E-05  1.35E-17
                                                      Total 5.97E-16
Co-60   5.2713 y B+         Auger KLL  1.25E-04  6.498E-03  1.30E-19
                            Auger KLX  3.12E-05  7.314E-03  3.65E-20
                            Auger KXY  2.06E-06  8.133E-03  2.68E-21
                            CK LLX     7.33E-05  7.879E-05  9.25E-22
                            Auger LMM  3.94E-04  7.726E-04  4.87E-20
                            Auger LMX  3.98E-06  8.184E-04  5.21E-22
                            CK MMX     5.84E-04  4.798E-05  4.49E-21
                                                      Total 2.24E-19
Ni-57   35.6 h EC B-        Auger KLL  2.52E-01  6.031E-03  2.44E-16
                            Auger KLX  6.24E-02  6.775E-03  6.77E-17
                            Auger KXY  3.99E-03  7.524E-03  4.81E-18
                            CK LLX     1.48E-01  7.493E-05  1.78E-18
                            Auger LMM  7.73E-01  6.982E-04  8.65E-17
                            Auger LMX  9.03E-03  7.449E-04  1.08E-18
                            CK MMX     1.26E+00  4.384E-05  8.87E-18
                                                      Total 4.14E-16
Cu-57   0.1963 s EC B-      Auger KLL  5.24E-04  6.498E-03  5.45E-19
                            Auger KLX  1.31E-04  7.314E-03  1.53E-19
                            Auger KXY  8.64E-06  8.133E-03  1.13E-20
                            CK LLX     3.19E-04  7.884E-05  4.03E-21
                            Auger LMM  1.67E-03  7.727E-04  2.06E-19
                            Auger LMX  1.69E-05  8.191E-04  2.22E-21
                            CK MMX     2.51E-03  4.788E-05  1.93E-20
                                                      Total 9.41E-19
Cu-61   3.333 h EC B-       Auger KLL  1.64E-01  6.498E-03  1.71E-16
                            Auger KLX  4.11E-02  7.314E-03  4.81E-17
                            Auger KXY  2.71E-03  8.133E-03  3.53E-18
                            CK LLX     1.00E-01  7.884E-05  1.27E-18
                            Auger LMM  5.23E-01  7.727E-04  6.47E-17
                            Auger LMX  5.31E-03  8.191E-04  6.96E-19
                            CK MMX     7.89E-01  4.787E-05  6.05E-18
                                                      Total 2.95E-16
Cu-62   9.673 m EC B-       Auger KLL  9.19E-03  6.498E-03  9.57E-18
                            Auger KLX  2.30E-03  7.314E-03  2.69E-18
                            Auger KXY  1.52E-04  8.133E-03  1.98E-19
                            CK LLX     5.61E-03  7.884E-05  7.08E-20
                            Auger LMM  2.92E-02  7.727E-04  3.62E-18
                            Auger LMX  2.97E-04  8.191E-04  3.90E-20
                            CK MMX     4.41E-02  4.787E-05  3.38E-19
                                                      Total 1.65E-17
Cu-64   12.7 h EC B- B+     Auger KLL  1.83E-01  6.498E-03  1.90E-16
                            Auger KLX  4.57E-02  7.314E-03  5.35E-17
                            Auger KXY  3.01E-03  8.133E-03  3.92E-18
                            CK LLX     1.12E-01  7.884E-05  1.41E-18
                            Auger LMM  5.81E-01  7.727E-04  7.19E-17
                            Auger LMX  5.90E-03  8.192E-04  7.75E-19
                            CK MMX     8.77E-01  4.787E-05  6.73E-18
                                                      Total 3.28E-16
Cu-67   61.83 h B+          Auger KLL  5.61E-02  7.487E-03  6.73E-17
                            Auger KLX  1.43E-02  8.455E-03  1.94E-17
                            Auger KXY  1.01E-03  9.428E-03  1.52E-18
                            CK LLX     3.41E-02  8.965E-05  4.90E-19
                            Auger LMM  1.95E-01  9.293E-04  2.90E-17
                            Auger LMX  1.52E-03  9.745E-04  2.38E-19
                            Auger LXY  5.00E-06  1.075E-03  8.62E-22
                            CK MMX     2.57E-01  5.684E-05  2.34E-18
                            Auger MNN  2.39E-05  1.183E-04  4.52E-22
                                                      Total 1.20E-16
Zn-62   9.186 h EC B-       Auger KLL  4.30E-01  6.991E-03  4.81E-16
                            Auger KLX  1.06E-01  7.880E-03  1.34E-16
                            Auger KXY  7.35E-03  8.773E-03  1.03E-17
                            CK LLX     2.64E-01  9.095E-05  3.85E-18
                            Auger LMM  1.42E+00  8.561E-04  1.95E-16
                            Auger LMX  5.34E-03  8.980E-04  7.69E-19
                            CK MMX     1.97E+00  5.685E-05  1.79E-17
                                                      Total 8.44E-16
Zn-63   38.47 m EC B-       Auger KLL  2.86E-02  6.991E-03  3.21E-17
                            Auger KLX  7.06E-03  7.880E-03  8.92E-18
                            Auger KXY  4.89E-04  8.773E-03  6.88E-19
                            CK LLX     1.76E-02  9.096E-05  2.57E-19
                            Auger LMM  9.49E-02  8.561E-04  1.30E-17
                            Auger LMX  3.56E-04  8.981E-04  5.12E-20
                            CK MMX     1.31E-01  5.683E-05  1.20E-18
                                                      Total 5.62E-17
Zn-65   244.06 d EC B-      Auger KLL  3.89E-01  6.991E-03  4.36E-16
                            Auger KLX  9.62E-02  7.880E-03  1.21E-16
                            Auger KXY  6.66E-03  8.773E-03  9.36E-18
                            CK LLX     2.43E-01  9.097E-05  3.54E-18
                            Auger LMM  1.29E+00  8.561E-04  1.78E-16
                            Auger LMX  4.86E-03  8.984E-04  7.00E-19
                            CK MMX     1.80E+00  5.682E-05  1.63E-17
                                                      Total 7.65E-16
Zn-69   56.4 m B+           Auger KLL  1.69E-08  7.996E-03  2.17E-23
                            Auger KLX  4.48E-09  9.049E-03  6.49E-24
                            Auger KXY  3.21E-10  1.010E-02  5.19E-25
                            CK LLX     1.11E-08  9.429E-05  1.68E-25
                            Auger LMM  6.02E-08  1.003E-03  9.68E-24
                            Auger LMX  9.31E-10  1.052E-03  1.57E-25
                            Auger LXY  4.76E-12  1.154E-03  8.81E-28
                            CK MMX     7.58E-08  5.446E-05  6.61E-25
                            Auger MNN  8.28E-08  1.174E-05  1.56E-25
                                                      Total 3.95E-23
Zn-69m  13.76 h B+ IT       Auger KLL  1.91E-02  7.487E-03  2.29E-17
                            Auger KLX  4.87E-03  8.455E-03  6.60E-18
                            Auger KXY  3.43E-04  9.428E-03  5.18E-19
                            CK LLX     1.21E-02  8.979E-05  1.74E-19
                            Auger LMM  6.61E-02  9.295E-04  9.84E-18
                            Auger LMX  5.20E-04  9.760E-04  8.14E-20
                            Auger LXY  1.73E-06  1.077E-03  2.98E-22
                            CK MMX     8.76E-02  5.681E-05  7.98E-19
                            Auger MNN  8.28E-06  1.183E-04  1.57E-22
                            Auger KLL  1.07E-07  7.996E-03  1.37E-22
                            Auger KLX  2.82E-08  9.049E-03  4.09E-23
                            Auger KXY  2.02E-09  1.010E-02  3.28E-24
                            CK LLX     7.02E-08  9.430E-05  1.06E-24
                            Auger LMM  3.80E-07  1.003E-03  6.10E-23
                            Auger LMX  5.87E-09  1.052E-03  9.90E-25
                            Auger LXY  3.00E-11  1.154E-03  5.55E-27
                            CK MMX     4.78E-07  5.446E-05  4.17E-24
                            Auger MNN  5.22E-07  1.174E-05  9.82E-25
                                                      Total 4.09E-17
Ga-66   9.49 h EC B-        Auger KLL  1.66E-01  7.487E-03  1.99E-16
                            Auger KLX  4.24E-02  8.455E-03  5.74E-17
                            Auger KXY  2.98E-03  9.428E-03  4.50E-18
                            CK LLX     1.07E-01  8.987E-05  1.55E-18
                            Auger LMM  5.72E-01  9.295E-04  8.52E-17
                            Auger LMX  4.53E-03  9.767E-04  7.08E-19
                            Auger LXY  1.51E-05  1.078E-03  2.61E-21
                            CK MMX     7.62E-01  5.677E-05  6.93E-18
                            Auger MNN  7.31E-05  1.183E-04  1.39E-21
                                                      Total 3.55E-16
Ga-67   3.2612 d EC         Auger KLL  4.97E-01  7.487E-03  5.96E-16
                            Auger KLX  1.27E-01  8.456E-03  1.72E-16
                            Auger KXY  8.92E-03  9.428E-03  1.35E-17
                            CK LLX     3.17E-01  8.982E-05  4.56E-18
                            Auger LMM  1.72E+00  9.295E-04  2.56E-16
                            Auger LMX  1.35E-02  9.762E-04  2.12E-18
                            Auger LXY  4.50E-05  1.077E-03  7.77E-21
                            CK MMX     2.28E+00  5.679E-05  2.08E-17
                            Auger MNN  2.17E-04  1.183E-04  4.12E-21
                                                      Total 1.06E-15
Ga-68   67.71 m EC B-       Auger KLL  4.12E-02  7.487E-03  4.94E-17
                            Auger KLX  1.05E-02  8.455E-03  1.42E-17
                            Auger KXY  7.40E-04  9.428E-03  1.12E-18
                            CK LLX     2.66E-02  8.986E-05  3.83E-19
                            Auger LMM  1.42E-01  9.295E-04  2.11E-17
                            Auger LMX  1.12E-03  9.766E-04  1.76E-19
                            Auger LXY  3.74E-06  1.078E-03  6.46E-22
                            CK MMX     1.89E-01  5.678E-05  1.72E-18
