 204-BISMUTH-83          HALFLIFE = 11.22 HOURS   

  MODES OF DECAY: ELECTRON CAPTURE, BETA PLUS
 
                                    MEAN
                                    NUMBER/                  MEV/
                               ID   TRANSFOR-   ENERGY       TRANSFOR-
        TYPE OF RADIATION      NO.  MATION      (MEV)        MATION

 BETA PLUS                     13   3.96E-04    5.346E-01*   2.12E-04
 BETA PLUS                     14   1.02E-03    5.373E-01*   5.46E-04
 L1 CONV. ELECTRON, GAMMA-RAY   2   1.40E-02    1.315E-02    1.84E-04
 L2 CONV. ELECTRON, GAMMA-RAY   3   2.37E-02    6.329E-02    1.50E-03
 L3 CONV. ELECTRON, GAMMA-RAY   3   2.05E-02    6.550E-02    1.34E-03
 M CONV. ELECTRON, GAMMA-RAY    3   1.19E-02    7.549E-02*   8.99E-04
 N+ CONV. ELECTRON, GAMMA-RAY   3   3.66E-03    7.854E-02*   2.87E-04
 L1 CONV. ELECTRON, GAMMA-RAY   4   1.76E-02    6.430E-02    1.13E-03
 L2 CONV. ELECTRON, GAMMA-RAY   4   3.30E-03    6.490E-02    2.14E-04
 M CONV. ELECTRON, GAMMA-RAY    4   5.36E-03    7.710E-02*   4.14E-04
 L1 CONV. ELECTRON, GAMMA-RAY   8   2.01E-03    8.447E-02    1.70E-04
 K CONV. ELECTRON, GAMMA-RAY   12   1.60E-02    5.251E-02    8.39E-04
 L1 CONV. ELECTRON, GAMMA-RAY  12   2.47E-03    1.250E-01    3.08E-04
 L2 CONV. ELECTRON, GAMMA-RAY  12   2.60E-03    1.255E-01    3.26E-04
 L3 CONV. ELECTRON, GAMMA-RAY  12   1.69E-03    1.278E-01    2.16E-04
 M CONV. ELECTRON, GAMMA-RAY   12   1.71E-03    1.377E-01*   2.36E-04
 K CONV. ELECTRON, GAMMA-RAY   18   2.32E-03    8.011E-02    1.86E-04
 K CONV. ELECTRON, GAMMA-RAY   19   4.10E-03    8.154E-02    3.34E-04
 K CONV. ELECTRON, GAMMA-RAY   20   1.40E-02    8.780E-02    1.23E-03
 L1 CONV. ELECTRON, GAMMA-RAY  20   2.16E-03    1.602E-01    3.47E-04
 K CONV. ELECTRON, GAMMA-RAY   22   2.80E-03    1.244E-01    3.48E-04
 K CONV. ELECTRON, GAMMA-RAY   23   1.30E-02    1.278E-01    1.66E-03
 L1 CONV. ELECTRON, GAMMA-RAY  23   2.01E-03    2.003E-01    4.03E-04
 K CONV. ELECTRON, GAMMA-RAY   24   3.24E-03    1.281E-01    4.15E-04
 K CONV. ELECTRON, GAMMA-RAY   25   3.13E-03    1.311E-01    4.10E-04
 L2 CONV. ELECTRON, GAMMA-RAY  25   1.68E-03    2.042E-01    3.43E-04
 L3 CONV. ELECTRON, GAMMA-RAY  25   9.63E-04    2.064E-01    1.99E-04
 M CONV. ELECTRON, GAMMA-RAY   25   8.07E-04    2.164E-01*   1.75E-04
 K CONV. ELECTRON, GAMMA-RAY   26   7.96E-03    1.339E-01    1.07E-03
 L1 CONV. ELECTRON, GAMMA-RAY  26   1.23E-03    2.063E-01    2.54E-04
 K CONV. ELECTRON, GAMMA-RAY   29   2.10E-03    1.521E-01    3.19E-04
 K CONV. ELECTRON, GAMMA-RAY   30   1.32E-02    1.607E-01    2.12E-03
 L1 CONV. ELECTRON, GAMMA-RAY  30   2.04E-03    2.331E-01    4.75E-04
 GAMMA-RAY                     33   2.70E-02    2.893E-01    7.81E-03
 K CONV. ELECTRON, GAMMA-RAY   33   1.09E-02    2.010E-01    2.19E-03
 L1 CONV. ELECTRON, GAMMA-RAY  33   1.69E-03    2.735E-01    4.61E-04
 K CONV. ELECTRON, GAMMA-RAY   34   2.77E-03    2.031E-01    5.63E-04
