 120-IODINE-53           HALFLIFE = 81.6 MINUTES 

  MODES OF DECAY: ELECTRON CAPTURE, BETA PLUS
 
                                    MEAN
                                    NUMBER/                  MEV/
                               ID   TRANSFOR-   ENERGY       TRANSFOR-
        TYPE OF RADIATION      NO.  MATION      (MEV)        MATION

 BETA PLUS                     14   2.49E-03    4.929E-01*   1.23E-03
 BETA PLUS                     22   4.29E-03    6.896E-01*   2.96E-03
 BETA PLUS                     24   5.29E-03    7.292E-01*   3.85E-03
 BETA PLUS                     25   9.37E-03    7.415E-01*   6.95E-03
 BETA PLUS                     26   6.48E-03    8.268E-01*   5.36E-03
 BETA PLUS                     27   2.63E-03    8.534E-01*   2.25E-03
 BETA PLUS                     28   4.21E-03    8.884E-01*   3.74E-03
 BETA PLUS                     29   2.12E-02    9.602E-01*   2.04E-02
 BETA PLUS                     30   6.18E-02    1.131E+00*   6.99E-02
 BETA PLUS                     31   2.34E-03    1.199E+00*   2.81E-03
 BETA PLUS                     32   6.62E-03    1.205E+00*   7.98E-03
 BETA PLUS                     34   1.89E-03    1.355E+00*   2.57E-03
 BETA PLUS                     35   1.92E-02    1.386E+00*   2.67E-02
 BETA PLUS                     36   2.69E-02    1.542E+00*   4.15E-02
 BETA PLUS                     37   1.14E-02    1.561E+00*   1.77E-02
 BETA PLUS                     38   1.99E-03    1.588E+00*   3.17E-03
 BETA PLUS                     39   2.92E-01    1.845E+00*   5.39E-01
 BETA PLUS                     40   1.89E-01    2.099E+00*   3.98E-01
 ANNIHILATION RADIATION             1.36E+00    5.110E-01    6.97E-01
 GAMMA-RAY                      9   9.81E-03    5.427E-01    5.33E-03
 GAMMA-RAY                     10   6.96E-01    5.604E-01    3.90E-01
 K CONV. ELECTRON, GAMMA-RAY   10   3.56E-03    5.286E-01    1.88E-03
 GAMMA-RAY                     11   5.51E-02    6.011E-01    3.31E-02
 GAMMA-RAY                     12   4.73E-03    6.140E-01    2.91E-03
 GAMMA-RAY                     13   8.42E-02    6.411E-01    5.40E-02
 GAMMA-RAY                     16   1.05E-02    6.621E-01    6.96E-03
 GAMMA-RAY                     28   4.32E-03    7.630E-01    3.29E-03
 GAMMA-RAY                     34   3.62E-03    9.213E-01    3.33E-03
 GAMMA-RAY                     37   1.50E-02    9.751E-01    1.46E-02
 GAMMA-RAY                     38   3.69E-03    9.796E-01    3.61E-03
 GAMMA-RAY                     39   3.20E-03    1.053E+00    3.37E-03
 GAMMA-RAY                     40   5.78E-03    1.074E+00    6.20E-03
 GAMMA-RAY                     42   4.11E-03    1.101E+00    4.52E-03
 GAMMA-RAY                     44   4.18E-03    1.158E+00    4.84E-03
 GAMMA-RAY                     45   5.57E-03    1.169E+00    6.51E-03
 GAMMA-RAY                     46   2.51E-02    1.202E+00    3.01E-02
 GAMMA-RAY                     48   6.75E-03    1.255E+00    8.47E-03
 GAMMA-RAY                     50   2.44E-03    1.283E+00    3.13E-03
 GAMMA-RAY                     51   4.04E-03    1.299E+00    5.25E-03
 GAMMA-RAY                     52   8.28E-03    1.303E+00    1.08E-02
 GAMMA-RAY                     54   6.61E-03    1.364E+00    9.02E-03
 GAMMA-RAY                     55   4.87E-03    1.383E+00    6.74E-03
 GAMMA-RAY                     56   5.29E-03    1.402E+00    7.42E-03
 GAMMA-RAY                     57   1.67E-02    1.404E+00    2.35E-02
 GAMMA-RAY                     58   1.25E-02    1.411E+00    1.77E-02
 GAMMA-RAY                     60   7.52E-03    1.423E+00    1.07E-02
 GAMMA-RAY                     62   2.09E-03    1.441E+00    3.01E-03
 GAMMA-RAY                     63   4.66E-03    1.452E+00    6.77E-03
 GAMMA-RAY                     64   3.83E-03    1.492E+00    5.71E-03
 GAMMA-RAY                     65   1.09E-01    1.523E+00    1.65E-01
