 152-TERBIUM-65          HALFLIFE = 17.5 HOURS   

  MODES OF DECAY: ELECTRON CAPTURE, BETA PLUS
 
                                    MEAN
                                    NUMBER/                  MEV/
                               ID   TRANSFOR-   ENERGY       TRANSFOR-
        TYPE OF RADIATION      NO.  MATION      (MEV)        MATION

 BETA PLUS                     11   1.80E-03    4.682E-01*   8.41E-04
 BETA PLUS                     13   1.06E-03    5.030E-01*   5.32E-04
 BETA PLUS                     17   6.59E-04    5.779E-01*   3.81E-04
 BETA PLUS                     18   1.90E-03    5.996E-01*   1.14E-03
 BETA PLUS                     19   2.61E-03    6.163E-01*   1.61E-03
 BETA PLUS                     21   1.10E-03    6.926E-01*   7.60E-04
 BETA PLUS                     22   5.09E-03    7.441E-01*   3.79E-03
 BETA PLUS                     23   2.00E-03    7.458E-01*   1.49E-03
 BETA PLUS                     25   5.19E-03    8.315E-01*   4.31E-03
 BETA PLUS                     26   7.38E-03    8.378E-01*   6.19E-03
 BETA PLUS                     27   9.98E-04    8.740E-01*   8.72E-04
 BETA PLUS                     28   2.29E-02    9.182E-01*   2.11E-02
 BETA PLUS                     29   1.50E-03    1.002E+00*   1.50E-03
 BETA PLUS                     30   9.98E-03    1.063E+00*   1.06E-02
 BETA PLUS                     31   5.99E-02    1.184E+00*   7.09E-02
 BETA PLUS                     32   6.98E-02    1.336E+00*   9.33E-02
 ANNIHILATION RADIATION             3.92E-01    5.110E-01    2.00E-01
 GAMMA-RAY                     12   8.58E-02    2.711E-01    2.33E-02
 K CONV. ELECTRON, GAMMA-RAY   12   5.33E-03    2.208E-01    1.18E-03
 GAMMA-RAY                     13   8.64E-03    3.152E-01    2.72E-03
 GAMMA-RAY                     17   6.50E-01    3.443E-01    2.24E-01
 K CONV. ELECTRON, GAMMA-RAY   17   2.02E-02    2.940E-01    5.94E-03
 L1 CONV. ELECTRON, GAMMA-RAY  17   2.34E-03    3.359E-01    7.86E-04
 L2 CONV. ELECTRON, GAMMA-RAY  17   1.28E-03    3.363E-01    4.30E-04
 L3 CONV. ELECTRON, GAMMA-RAY  17   8.43E-04    3.370E-01    2.84E-04
 M CONV. ELECTRON, GAMMA-RAY   17   1.01E-03    3.427E-01*   3.46E-04
 GAMMA-RAY                     20   4.16E-03    3.878E-01    1.61E-03
 K CONV. ELECTRON, GAMMA-RAY   20   1.59E-03    3.375E-01    5.36E-04
 GAMMA-RAY                     21   4.09E-02    4.111E-01    1.68E-02
 K CONV. ELECTRON, GAMMA-RAY   21   7.79E-04    3.608E-01    2.81E-04
 K CONV. ELECTRON, GAMMA-RAY   22   4.41E-03    3.822E-01    1.69E-03
 L1 CONV. ELECTRON, GAMMA-RAY  22   6.16E-04    4.242E-01    2.61E-04
 GAMMA-RAY                     39   9.42E-02    5.863E-01    5.53E-02
 K CONV. ELECTRON, GAMMA-RAY   39   1.95E-03    5.360E-01    1.04E-03
 K CONV. ELECTRON, GAMMA-RAY   40   1.09E-02    5.653E-01    6.18E-03
 L1 CONV. ELECTRON, GAMMA-RAY  40   1.51E-03    6.073E-01    9.17E-04
 GAMMA-RAY                     41   9.36E-03    6.228E-01    5.83E-03
 GAMMA-RAY                     47   5.52E-03    6.751E-01    3.73E-03
 GAMMA-RAY                     51   7.86E-03    7.033E-01    5.53E-03
 GAMMA-RAY                     52   1.69E-02    7.033E-01    1.19E-02
 GAMMA-RAY                     57   2.21E-03    7.387E-01    1.63E-03
 GAMMA-RAY                     58   2.92E-02    7.649E-01    2.24E-02
 GAMMA-RAY                     60   5.78E-02    7.789E-01    4.51E-02
 GAMMA-RAY                     63   2.34E-03    8.128E-01    1.90E-03
 GAMMA-RAY                     69   6.69E-03    8.933E-01    5.98E-03
 GAMMA-RAY                     73   4.55E-03    9.287E-01    4.23E-03
