                 Decay              Y(i)       E(i)     Delta(i)
Nuclide  T1/2    Mode       X-ray  (/nt)      (MeV)     Gy kg/nt
----------------------------------------------------------------
Na-24   14.959 h B+         K -L2  1.37E-07  1.238E-03  2.71E-23
                            K -L3  2.71E-07  1.238E-03  5.38E-23
                            L1-L3  4.25E-10  3.291E-05  2.24E-27
                            L1-M2  8.84E-10  3.322E-05  4.71E-27
                            L2-N1  5.39E-21  3.100E-07  2.68E-40
                            L2-N3  3.37E-11  4.966E-05  2.68E-28
                            L3-N5  6.23E-11  4.935E-05  4.93E-28
                            M3-N5  6.68E-05  6.890E-06  7.38E-23
                                                  Total 1.55E-22
Mg-28   20.915 h B+         K -L2  3.43E-03  1.469E-03  8.07E-19
                            K -L3  6.80E-03  1.469E-03  1.60E-18
                            K -M2  2.09E-05  1.545E-03  5.19E-21
                            K -M3  4.16E-05  1.545E-03  1.03E-20
                            L1-L3  1.07E-05  3.785E-05  6.49E-23
                            L1-M2  2.31E-05  3.832E-05  1.42E-22
                            L1-M3  2.81E-07  1.142E-04  5.14E-24
                            L1-M4  5.46E-07  1.142E-04  9.98E-24
                            L2-N1  7.07E-16  4.700E-07  5.32E-35
                            L2-N3  2.95E-06  7.104E-05  3.36E-23
                            L2-N4  3.23E-11  7.633E-05  3.95E-28
                            L3-N5  5.46E-06  7.057E-05  6.17E-23
                            L3-N6  2.98E-11  7.585E-05  3.63E-28
                            L3-N7  2.95E-11  7.586E-05  3.58E-28
                            M3-N5  1.25E+00  8.103E-06  1.62E-18
                                                  Total 4.04E-18
Al-28   2.2414 m B+         K -L2  1.39E-07  1.720E-03  3.82E-23
                            K -L3  2.75E-07  1.721E-03  7.58E-23
                            K -M2  2.36E-09  1.822E-03  6.90E-25
                            K -M3  4.69E-09  1.822E-03  1.37E-24
                            L1-L3  4.19E-10  4.288E-05  2.88E-27
                            L1-M2  9.37E-10  4.357E-05  6.54E-27
                            L1-M3  2.42E-11  1.450E-04  5.62E-28
                            L1-M4  4.45E-11  1.450E-04  1.03E-27
                            L2-N1  1.09E-19  6.900E-07  1.21E-38
                            L2-N3  2.67E-10  9.504E-05  4.07E-27
                            L2-N4  1.04E-14  1.021E-04  1.70E-31
                            L3-N5  4.94E-10  9.435E-05  7.47E-27
                            L3-N6  9.55E-15  1.014E-04  1.55E-31
                            L3-N7  9.43E-15  1.015E-04  1.53E-31
                            M3-N5  3.86E-05  9.457E-06  5.84E-23
                                                  Total 1.74E-22
P-30    2.498 m EC B-       K -L2  2.08E-05  1.720E-03  5.73E-21
                            K -L3  4.12E-05  1.721E-03  1.14E-20
                            K -M2  3.54E-07  1.822E-03  1.03E-22
                            K -M3  7.03E-07  1.822E-03  2.05E-22
                            L1-L3  6.55E-08  4.288E-05  4.50E-25
                            L1-M2  1.47E-07  4.357E-05  1.02E-24
                            L1-M3  3.79E-09  1.450E-04  8.80E-26
                            L1-M4  6.97E-09  1.450E-04  1.62E-25
                            L2-N1  1.65E-17  6.900E-07  1.83E-36
                            L2-N3  4.05E-08  9.504E-05  6.17E-25
                            L2-N4  1.57E-12  1.021E-04  2.57E-29
                            L3-N5  7.49E-08  9.435E-05  1.13E-24
                            L3-N6  1.45E-12  1.014E-04  2.35E-29
                            L3-N7  1.43E-12  1.015E-04  2.32E-29
                            M3-N5  5.86E-03  9.467E-06  8.89E-21
                                                  Total 2.63E-20
Cl-34   1.5264 s EC B-      K -L2  1.77E-05  2.283E-03  6.48E-21
                            K -L3  3.50E-05  2.285E-03  1.28E-20
                            K -M2  8.26E-07  2.446E-03  3.24E-22
                            K -M3  1.64E-06  2.446E-03  6.41E-22
                            L1-L3  4.43E-08  5.324E-05  3.78E-25
                            L1-M2  1.09E-07  5.457E-05  9.49E-25
                            L1-M3  1.04E-08  2.156E-04  3.59E-25
                            L1-M4  1.75E-08  2.157E-04  6.05E-25
